Ticker,변동성,평균 주간 수익률
A179900,0.463037604,0.087328193
A180640,0.665385271,0.008401832
A181340,0.275294825,-0.122100122
A182360,0.328322062,0.008010426
A182400,0.239278938,0.002826457
A183490,0.37383779,0.006001176
A184230,0.369975123,-0.001355334
A184390,,
A186230,0.357040698,0.007485915
A187270,0.397225341,0.000573585
A187870,0.55617593,0.009030517
A189300,0.396572046,-0.102362205
A192410,1.041581121,0.002078395
A193250,0.51814575,0.005500578
A194510,,
A194700,0.319686876,-0.160206718
A195930,0.085645851,0.001246169
A196030,0.189592037,0.002832989
A196170,1.486366224,0.014726978
A199890,,
A200030,0.122373205,0.002150679
A200050,,
A200470,0.361008266,0.007936182
A203450,0.214640367,0.006342068
A204620,0.234004658,-5.88891E-06
A204840,0.570401853,0.006225817
A205100,0.176932458,0.002455617
A206640,0.366739514,0.000822404
A207760,0.587501293,0.007852744
A208340,0.344104218,0.162790698
A210980,0.165137182,0.001549878
A211560,0.08096416,0.000798125
A213420,0.338800566,0.006065704
A213630,0.097287649,0.001522536
A213930,,
A214180,0.203605411,0.001553138
A214260,0.246081164,-0.069908815
A214310,0.566618892,0.000934623
A214420,0.402204239,-0.000766752
A214450,0.246948112,0.000446951
A214610,0.533858353,0.001790088
A215100,0.268594424,0.004880044
A215380,0.266209091,0.006092904
A215480,0.346144246,0.004801672
A216050,0.353219069,0.047663754
A217500,0.163015734,0.003295582
A219130,0.419034142,0.006690266
A219480,0.159529758,0.002833096
A219550,0.378773602,0.003339744
A220180,0.42409306,0.001653073
A220630,0.158821868,0.004471486
A222110,0.329910334,-0.038116592
A222180,,
A222190,,
A225330,0.192463834,-0.111452729
A225590,0.230021324,-0.000326651
A226380,0.10356459,-0.000115373
A226400,0.37226097,-0.232951945
A227540,0.181823915,0.001659273
A227550,0.150287498,-0.0002514
A228790,0.212503783,-0.001206089
A229640,0.109714191,0.024279211
A232080,0.17632599,0.002048473
A233160,0.368379283,0.004066752
A234100,0.562983569,0.019040988
A235370,,
A236350,0.181244784,0.005561173
A236490,,
A237350,0.122132348,0.003476965
A237690,0.440364575,0.048863636
A238120,0.224899256,0.053006682
A238490,0.258000247,-0.05154265
A238720,0.132543687,-0.00142315
A239890,0.320658629,0
A240600,,
A241390,0.045767243,0.002050861
A241590,0.230638134,0.068965517
A241660,,
A243840,0.190605461,0.105527638
A243890,0.272074051,-0.04507772
A244290,,
A244310,,
A244580,0.2166125,0.024697337
A245350,0.104215369,-0.02127425
A247540,0.450694379,-0.021459227
A247580,,
A247790,,
A249420,0.169045994,-0.065096237
A250780,0.228439108,-0.001505268
A250930,0.13963191,-0.004940711
A251340,0.232687896,-0.001502253
A251590,0.091072915,-0.010288749
A251600,0.035177195,-0.006478579
A252710,0.224833433,0.006622517
A252720,0.106105272,0.014648858
A252990,,
A253230,0.230842589,0.004584819
A255890,,
A256450,0.200334618,0.021161417
A257370,0.25141938,-0.208613728
A258830,0.345970295,0.032986111
